Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43306206,"The Courage to Be Disliked: How to Free Yourself, Change Your Life and Achieve Real Happiness",Ichiro Kishimi,"Kishimi, Ichiro",Fumitake Koga,"=""""","=""""",0,Allen & Unwin,Paperback,288,2019,2013,,2026/01/12,to-read,to-read (#23),to-read,,,,0,0
213870084,"One Day, Everyone Will Have Always Been Against This",Omar El Akkad,"Akkad, Omar El",,"=""0593804147""","=""9780593804148""",0,Knopf,Hardcover,208,2025,2025,,2026/01/11,,,read,,,,1,0
5826,Bel Canto,Ann Patchett,"Patchett, Ann",,"=""""","=""""",0,Harper Perennial,Paperback,318,2023,2001,,2026/01/06,,,read,,,,1,0
11337,The Bluest Eye,Toni Morrison,"Morrison, Toni",,"=""""","=""""",4.0,Plume,Paperback,216,2005,1970,,2026/01/06,,,read,,,,1,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",4.0,Random House,Hardcover,372,2018,2018,,2026/01/06,,,read,,,,1,0
56126868,Accounts of China and India (Library of Arabic Literature Book 55),Abu Zayd Al-Sirafi,"Al-Sirafi, Abu Zayd","Zvi Ben-Dor Benite, Tim Mackintosh-Smith","=""""","=""""",5.0,NYU Press,Kindle Edition,312,2017,,,2026/01/06,,,read,,,,1,0
40603783,The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,"Jay, Meg",,"=""""","=""""",4.0,Twelve,Kindle Edition,273,2012,2012,,2026/01/06,,,read,,,,1,0
34017010,The State of Affairs: Rethinking Infidelity,Esther Perel,"Perel, Esther",,"=""0062322605""","=""9780062322609""",4.0,Harper,ebook,352,2017,2017,,2026/01/06,,,read,,,,1,0
228147320,"Work Like A Monk: How to Connect, Lead and Grow in a Noisy World",Shoukei Matsumoto,"Matsumoto, Shoukei",,"=""1398551759""","=""9781398551756""",0,Gallery UK,Kindle Edition,192,2025,,,2026/01/05,to-read,to-read (#22),to-read,,,,0,0
457264,The Second Sex,Simone de Beauvoir,"Beauvoir, Simone de","H.M. Parshley, Deirdre Bair","=""0679724516""","=""9780679724513""",0,Vintage,Paperback,746,1989,1949,,2026/01/05,to-read,to-read (#21),to-read,,,,0,0
101880,In a Different Voice: Psychological Theory and Women’s Development,Carol Gilligan,"Gilligan, Carol",,"=""0674445449""","=""9780674445444""",0,Harvard University Press ,Paperback,192,1993,1982,,2026/01/05,to-read,to-read (#20),to-read,,,,0,0
6251387,Mothers and Others: The Evolutionary Origins of Mutual Understanding,Sarah Blaffer Hrdy,"Hrdy, Sarah Blaffer",,"=""0674032993""","=""9780674032996""",0,Belknap Press: An Imprint of Harvard University Press,Hardcover,432,2009,2009,,2026/01/05,to-read,to-read (#19),to-read,,,,0,0
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"Achebe, Chinua",,"=""""","=""""",5.0,Anchor Books,Paperback,215,1994,1958,,2026/01/04,,,read,,,,1,0
224004055,Mother Mary Comes to Me,Arundhati Roy,"Roy, Arundhati",,"=""1668094711""","=""9781668094716""",0,Scribner,Hardcover,331,2025,2025,,2026/01/01,to-read,to-read (#18),to-read,,,,0,0
68022,A Fisherman of the Inland Sea,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0060763515""","=""9780060763510""",0,Harper Perennial,Paperback,207,2005,1994,,2025/12/24,to-read,to-read (#17),to-read,,,,0,0
276767,The Word for World Is Forest,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",5.0,,ebook,160,1989,1972,,2025/12/24,,,read,,,,1,0
221207491,Old Kiln,Jia Pingwa,"Pingwa, Jia",,"=""183890526X""","=""9781838905262""",0,ACA Publishing / Sinoist Books,Paperback,952,2025,2012,,2025/12/23,to-read,to-read (#16),to-read,,,,0,0
222685805,I Deliver Parcels in Beijing,Hu Anyan,"Anyan, Hu",Jack Hargreaves,"=""1662603045""","=""9781662603044""",0,Astra House,Hardcover,336,2025,2023,,2025/12/23,to-read,to-read (#15),to-read,,,,0,0
11869272,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,"Boo, Katherine",,"=""1400067553""","=""9781400067558""",0,Random House,Hardcover,278,2012,2012,,2025/12/19,to-read,to-read (#14),to-read,,,,0,0
486177,"The Plum in the Golden Vase or, Chin P'ing Mei: Vol. One: The Gathering",Lanling Xiaoxiao Sheng,"Sheng, Lanling Xiaoxiao",David Tod Roy,"=""0691016143""","=""9780691016146""",0,Princeton University Press,Paperback,714,1997,1596,,2025/10/07,to-read,to-read (#13),to-read,,,,0,0
131181,The Sundial,Shirley Jackson,"Jackson, Shirley",,"=""0140083170""","=""9780140083170""",0,Penguin Books,Paperback,245,1986,1958,,2025/10/07,to-read,to-read (#12),to-read,,,,0,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,,2025/10/05,to-read,to-read (#11),to-read,,,,0,0
95696897,Still Born,Guadalupe Nettel,"Nettel, Guadalupe",Rosalind Harvey,"=""1639730044""","=""9781639730049""",5.0,Bloomsbury Publishing,Kindle Edition,224,2023,2020,,2025/08/24,,,read,,,,0,0
46199,Letters to a Young Poet,Rainer Maria Rilke,"Rilke, Rainer Maria","Franz Xaver Kappus, Reginald Snell","=""0486422453""","=""9780486422459""",0,Dover Publications,Paperback,80,2002,1929,,2025/08/23,to-read,to-read (#10),to-read,,,,0,0
298275,Nausea,Jean-Paul Sartre,"Sartre, Jean-Paul","Lloyd Alexander, Hayden Carruth","=""0811201880""","=""9780811201889""",4.0,New Directions,Hardcover,178,1969,1938,,2025/08/23,,,read,,,,0,0
13531823,China in Ten Words: Essays,Yu Hua,"Hua, Yu",Allan H. Barr,"=""0307739791""","=""9780307739797""",0,Vintage,Paperback,240,2012,2011,,2025/08/17,to-read,to-read (#9),to-read,,,,0,0
139874,"The Story of the Stone, or The Dream of the Red Chamber, Vol. 1: The Golden Days",Cao Xueqin,"Xueqin, Cao",David Hawkes,"=""0140442936""","=""9780140442939""",0,Penguin Classics,Paperback,542,1974,1791,,2025/08/17,to-read,to-read (#8),to-read,,,,0,0
522426,A Life's Work: On Becoming a Mother,Rachel Cusk,"Cusk, Rachel",,"=""0312311303""","=""9780312311308""",0,Picador,Paperback,224,2003,2001,,2025/08/17,to-read,to-read (#7),to-read,,,,0,0
226701,All God's Dangers: The Life of Nate Shaw,Theodore Rosengarten,"Rosengarten, Theodore",,"=""0226727742""","=""9780226727745""",0,University of Chicago Press,Paperback,600,2000,1974,,2025/08/17,to-read,to-read (#6),to-read,,,,0,0
30367546,The Baby Decision: How to Make the Most Important Choice of Your Life,Merle Bombardieri,"Bombardieri, Merle",,"=""0997500727""","=""9780997500721""",0,Orchard View Press,Kindle Edition,464,2016,1981,,2025/08/17,to-read,to-read (#5),to-read,,,,0,0
264288,"After the Ice: A Global Human History, 20,000-5000 BC",Steven Mithen,"Mithen, Steven",,"=""0674019997""","=""9780674019997""",0,Harvard University Press,Paperback,664,2006,2003,,2025/08/17,to-read,to-read (#4),to-read,,,,0,0
6149162,Mirrors: Stories of Almost Everyone,Eduardo Galeano,"Galeano, Eduardo",,"=""1568584237""","=""9781568584232""",0,Nation Books,Hardcover,391,2009,1993,,2025/08/17,to-read,to-read (#3),to-read,,,,0,0
9777,The God of Small Things,Arundhati Roy,"Roy, Arundhati",,"=""0679457313""","=""9780679457312""",0,Random House,Paperback,321,1997,1997,,2025/08/17,to-read,to-read (#2),to-read,,,,0,0
189123,Love in a Fallen City,Eileen Chang,"Chang, Eileen",Karen S. Kingsbury,"=""1590171780""","=""9781590171783""",0,NYRB Classics,Paperback,321,2006,1943,,2025/08/17,to-read,to-read (#1),to-read,,,,0,0
786180,Utopia (Selected Works of St. Thomas More Series),Thomas More,"More, Thomas",Edward Surtz,"=""0300002386""","=""9780300002386""",5.0,Yale University Press,Paperback,192,1964,1516,,2025/08/17,,,read,,,,1,0
82408,Imagined Communities: Reflections on the Origin and Spread of Nationalism,Benedict Anderson,"Anderson, Benedict",,"=""1844670864""","=""9781844670864""",5.0,Verso,Paperback,240,2006,1983,,2025/08/17,,,read,,,,1,0
43475,Criss Cross,Lynne Rae Perkins,"Perkins, Lynne Rae",,"=""0060092726""","=""9780060092726""",5.0,Greenwillow Books,Hardcover,337,2005,2005,,2025/08/17,,,read,,,,1,0
18635622,"A Knight of the Seven Kingdoms (The Tales of Dunk and Egg, #1-3)",George R.R. Martin,"Martin, George R.R.",Gary Gianni,"=""""","=""""",5.0,Bantam Books,Hardcover,355,2015,2015,,2025/08/17,,,read,,,,1,0
34598069,The Autobiography of Malcolm X: As Told to Alex Haley,Malcolm X,"X, Malcolm","Alex Haley, Attallah Shabazz","=""0910227519""","=""9789990065169""",5.0,Ballantine,Mass Market Paperback,460,1991,1965,,2025/08/17,,,read,,,,1,0
11248214,China: A History,John Keay,"Keay, John",,"=""0465025188""","=""9780465025183""",4.0,Basic Books,Paperback,608,2011,2008,,2025/08/17,,,read,,,,1,0
34314712,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""0316229296""","=""9780316229296""",5.0,Orbit,Paperback,471,2015,2015,,2025/08/17,,,read,,,,1,0
28118494,The Obelisk Gate (The Broken Earth #2),N.K. Jemisin,"Jemisin, N.K.",,"=""0316229261""","=""9780316229265""",5.0,Orbit,Paperback,413,2016,2016,,2025/08/17,,,read,,,,1,0
33296259,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,"Jemisin, N.K.",,"=""0316229245""","=""9780316229241""",5.0,Orbit,Paperback,419,2017,2017,,2025/08/17,,,read,,,,1,0
45126182,Siddhartha,Hermann Hesse,"Hesse, Hermann",Hilda Rosner,"=""0553208845""","=""9780553208849""",5.0,Bantam Books,Mass Market Paperback,152,1971,1922,,2025/08/17,,,read,,,,1,0
26114141,The Dark Forest (The Three-Body Problem #2),Liu Cixin,"Cixin, Liu",Joel Martinsen,"=""0765386690""","=""9780765386694""",5.0,Tor Books,Paperback,518,2015,2008,,2025/08/17,,,read,,,,1,0
43126457,Trick Mirror: Reflections on Self-Delusion,Jia Tolentino,"Tolentino, Jia",,"=""0525510540""","=""9780525510543""",5.0,Random House,Hardcover,303,2019,2019,,2025/08/17,,,read,,,,1,0
33517569,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765386631""","=""9780765386632""",5.0,Tor Books,Paperback,604,2017,2010,,2025/08/17,,,read,,,,1,0
25816990,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah","John  Purcell, Haim Watzman","=""0062316117""","=""9780062316110""",5.0,Harper Perennial,Paperback,464,2018,2011,,2025/08/17,,,read,,,,1,0
13533727,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Cheryl Strayed,"Strayed, Cheryl",,"=""0307949338""","=""9780307949332""",5.0,Knopf Doubleday Publishing Group,Paperback,353,2012,2012,,2025/08/17,,,read,,,,1,0
39863385,Getting the Love You Want: A Guide for Couples,Harville Hendrix,"Hendrix, Harville",Helen LaKelly Hunt,"=""1250310539""","=""9781250310538""",5.0,Holt Paperbacks,Paperback,352,2019,2005,,2025/08/17,,,read,,,,1,0
22889783,The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert,John M. Gottman,"Gottman, John M.",Nan Silver,"=""0553447718""","=""9780553447712""",5.0,Harmony,Paperback,297,2015,1999,,2025/08/17,,,read,,,,1,0
37588679,Eight Dates: Essential Conversations for a Lifetime of Love,John M. Gottman,"Gottman, John M.","Julie Schwartz Gottman, Douglas Carlton Abrams, Rachel Carlton Abrams","=""1523504463""","=""9781523504466""",4.0,Workman Publishing Company,Hardcover,231,2019,2019,,2025/08/17,,,read,,,,1,0
53006672,The 7 Habits of Highly Effective People,Stephen R. Covey,"Covey, Stephen R.","Sean Covey, Jim Collins","=""1982137274""","=""9781982137274""",4.0,Simon & Schuster,Paperback,464,2020,1989,,2025/08/17,,,read,,,,1,0
27208957,When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,"Chödrön, Pema",,"=""1611803438""","=""9781611803433""",5.0,Shambhala,Paperback,176,2016,1996,,2025/08/17,,,read,,,,1,0
8386051,"The Wisdom of a Broken Heart: How to Turn the Pain of a Breakup into Healing, Insight, and New Love",Susan Piver,"Piver, Susan",,"=""1416593160""","=""9781416593164""",5.0,Atria Books,Paperback,240,2010,2009,,2025/08/17,,,read,,,,1,0
25986827,Milk and Honey,Rupi Kaur,"Kaur, Rupi",,"=""144947425X""","=""9781449474256""",5.0,Andrews McMeel,Paperback,208,2015,2014,,2025/08/17,,,read,,,,1,0
35606560,The Sun and Her Flowers,Rupi Kaur,"Kaur, Rupi",,"=""1449486797""","=""9781449486792""",5.0,Andrews McMeel Publishing,Paperback,256,2017,2018,,2025/08/17,,,read,,,,1,0
42195298,The Meaning of Life,The School of Life,"Life, The School of",,"=""0995753547""","=""9780995753549""",5.0,The School of Life,Hardcover,136,2020,,,2025/08/17,,,read,,,,1,0
37533013,Self-Knowledge,The School of Life,"Life, The School of",,"=""0995753504""","=""9780995753501""",5.0,The School of Life,Hardcover,93,2018,2018,,2025/08/17,,,read,,,,1,0
39103327,"Racial Melancholia, Racial Dissociation: On the Social and Psychic Lives of Asian Americans",David L. Eng,"Eng, David L.",Shinhee Han,"=""1478001607""","=""9781478001607""",5.0,Duke University Press,Paperback,232,2019,2019,,2025/08/17,,,read,,,,1,0
56374648,Minor Feelings: An Asian American Reckoning (One World Essentials),Cathy Park Hong,"Hong, Cathy Park",,"=""1984820389""","=""9781984820389""",5.0,One World,Paperback,224,2021,2020,,2025/08/17,,,read,,,,1,0
58191443,When We Cease to Understand the World,Benjamín Labatut,"Labatut, Benjamín",Adrian Nathan West,"=""1681375664""","=""9781681375663""",4.0,New York Review Books,Paperback,192,2021,2020,,2025/08/17,,,read,,,,1,0
39776179,Dune (Dune #1),Frank Herbert,"Herbert, Frank",,"=""0441013597""","=""9780441013593""",5.0,Ace,Paperback,687,2005,1965,,2025/08/17,,,read,,,,1,0
52381735,The Redemption of Time,Baoshu,"Baoshu, Baoshu",Ken Liu,"=""1250306000""","=""9781250306005""",5.0,Tor Books,Paperback,283,2020,2011,,2025/08/17,,,read,,,,1,0
17601,"The Will to Change: Men, Masculinity, and Love",bell hooks,"hooks, bell",,"=""0743456084""","=""9780743456081""",5.0,Washington Square Press,Paperback,208,2004,2003,,2025/08/17,,,read,,,,1,0
52880778,"Red Rising (Red Rising, #1)",Pierce Brown,"Brown, Pierce",,"=""034553980X""","=""9780345539809""",5.0,Del Rey,Paperback,382,2014,2014,,2025/08/17,,,read,,,,1,0
44492286,Children of Dune (Dune #3),Frank Herbert,"Herbert, Frank",,"=""0593098242""","=""9780593098240""",4.0,Ace,Paperback,609,2019,1976,,2025/08/17,,,read,,,,1,0
44492285,Dune Messiah (Dune #2),Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098234""","=""9780593098233""",4.0,Ace,Mass Market Paperback,336,2019,1969,,2025/08/17,,,read,,,,1,0
41161349,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""1538732181""","=""9781538732182""",5.0,Grand Central Publishing,Paperback,329,2019,1993,,2025/08/17,,,read,,,,1,0
29566042,The Lonely City: Adventures in the Art of Being Alone,Olivia Laing,"Laing, Olivia",,"=""1250118034""","=""9781250118035""",4.0,Picador,Paperback,315,2017,2016,,2025/08/17,,,read,,,,1,0
20949716,"No Mud, No Lotus: The Art of Transforming Suffering",Thich Nhat Hanh,"Hanh, Thich Nhat",,"=""1937006859""","=""9781937006853""",5.0,Parallax Press,Paperback,128,2014,2014,,2025/08/17,,,read,,,,1,0
